source,kind,bytes,output
btn_limited_wallpaper@2x.png,png,39568,loose/btn_limited_wallpaper@2x.png
btn_limited_wallpaper_o@2x.png,png,39284,loose/btn_limited_wallpaper_o@2x.png
btn_livestage_park@2x.png,png,96052,loose/btn_livestage_park@2x.png
btn_livestage_park_h@2x.png,png,113852,loose/btn_livestage_park_h@2x.png
btn_making_park@2x.png,png,92111,loose/btn_making_park@2x.png
btn_making_park_h@2x.png,png,109464,loose/btn_making_park_h@2x.png
btn_music_tracking0@2x.png,png,107425,loose/btn_music_tracking0@2x.png
btn_music_tracking0_on@2x.png,png,148250,loose/btn_music_tracking0_on@2x.png
btn_music_tracking1@2x.png,png,103245,loose/btn_music_tracking1@2x.png
btn_music_tracking1_on@2x.png,png,141751,loose/btn_music_tracking1_on@2x.png
btn_music_tracking2@2x.png,png,101777,loose/btn_music_tracking2@2x.png
btn_music_tracking2_on@2x.png,png,138215,loose/btn_music_tracking2_on@2x.png
btn_music_tracking3@2x.png,png,106802,loose/btn_music_tracking3@2x.png
btn_music_tracking3_on@2x.png,png,145208,loose/btn_music_tracking3_on@2x.png
btn_play_tracking@2x.png,png,113968,loose/btn_play_tracking@2x.png
btn_play_tracking_d@2x.png,png,57408,loose/btn_play_tracking_d@2x.png
btn_play_tracking_on@2x.png,png,161480,loose/btn_play_tracking_on@2x.png
btn_wallpaper@2x.png,png,98033,loose/btn_wallpaper@2x.png
btn_wallpaper_h@2x.png,png,117111,loose/btn_wallpaper_h@2x.png
campain_dummy.png,png,16186,loose/campain_dummy.png
cardadd_btn@2x.png,png,7161,loose/cardadd_btn@2x.png
cardadd_btn_h@2x.png,png,7148,loose/cardadd_btn_h@2x.png
cart/img/background.png,png,56085,loose/cart/img/background.png
cart/img/button_add.png,png,8023,loose/cart/img/button_add.png
cart/img/button_delete.png,png,5958,loose/cart/img/button_delete.png
cart/img/cart_alert1.png,png,5959,loose/cart/img/cart_alert1.png
cart/img/cart_button_favorite.png,png,9528,loose/cart/img/cart_button_favorite.png
cart/img/cart_button_favorite2.png,png,10086,loose/cart/img/cart_button_favorite2.png
cart/img/cart_button_sideadd.png,png,9343,loose/cart/img/cart_button_sideadd.png
cart/img/cart_coupon_icon.png,png,8602,loose/cart/img/cart_coupon_icon.png
cart/img/cart_empty2.png,png,4059,loose/cart/img/cart_empty2.png
cart/img/cart_next.png,png,1225,loose/cart/img/cart_next.png
cart/img/cart_tag_menu.png,png,2802,loose/cart/img/cart_tag_menu.png
cart/img/cart_title_1.png,png,2948,loose/cart/img/cart_title_1.png
cart/img/cart_title_2.png,png,1702,loose/cart/img/cart_title_2.png
cart/img/cart_title_3.png,png,3045,loose/cart/img/cart_title_3.png
cart/img/cart_title_4.png,png,2126,loose/cart/img/cart_title_4.png
cart/img/confirm.png,png,6584,loose/cart/img/confirm.png
cart/img/half_icon.png,png,2556,loose/cart/img/half_icon.png
cart/img/loadinfo.gif,gif,3202,loose/cart/img/loadinfo.gif
cart/img/menu_icon_coupon.png,png,3581,loose/cart/img/menu_icon_coupon.png
cart/img/menu_icon_pastasub.png,png,3202,loose/cart/img/menu_icon_pastasub.png
cart/img/menu_icon_side.png,png,2833,loose/cart/img/menu_icon_side.png
cart/img/menu_icon_total.png,png,10543,loose/cart/img/menu_icon_total.png
cart/img/menu_tag_address.png,png,8673,loose/cart/img/menu_tag_address.png
cart/img/root_tel-1.png,png,1404,loose/cart/img/root_tel-1.png
cart/img/title_bg.png,png,967,loose/cart/img/title_bg.png
cart/img/yenmark_icn.png,png,1799,loose/cart/img/yenmark_icn.png
cart_toolbar_decision@2x.png,png,6353,loose/cart_toolbar_decision@2x.png
cart_toolbar_decision_h@2x.png,png,6349,loose/cart_toolbar_decision_h@2x.png
cart_toolbar_order@2x.png,png,6887,loose/cart_toolbar_order@2x.png
cart_toolbar_order_h@2x.png,png,6890,loose/cart_toolbar_order_h@2x.png
cc_notes_iphone.png,png,37247,loose/cc_notes_iphone.png
closed@2x.png,png,56760,loose/closed@2x.png
coupon_cell_accessory@2x.png,png,375,loose/coupon_cell_accessory@2x.png
coupon_checkedicon.png,png,1282,loose/coupon_checkedicon.png
coupon_icon@2x.png,png,575,loose/coupon_icon@2x.png
coupon_nouse@2x.png,png,9638,loose/coupon_nouse@2x.png
coupon_nouse_h@2x.png,png,9657,loose/coupon_nouse_h@2x.png
coupon_use@2x.png,png,9307,loose/coupon_use@2x.png
coupon_use_h@2x.png,png,9329,loose/coupon_use_h@2x.png
deliverytime.plist,plist,487,loose/deliverytime.plist
disc_blight@2x.png,png,46962,loose/disc_blight@2x.png
disc_tracking@2x.png,png,378904,loose/disc_tracking@2x.png
dominos.db,db,38912,loose/dominos.db
dominosTest-Info.plist,plist,383,loose/dominosTest-Info.plist
drinkset.png,png,3167,loose/drinkset.png
error@2x.png,png,1116,loose/error@2x.png
error_iphonenumber@2x.png,png,14892,loose/error_iphonenumber@2x.png
error_iphonenumber_caption@2x.png,png,8159,loose/error_iphonenumber_caption@2x.png
error_login@2x.png,png,13282,loose/error_login@2x.png
error_login_caption@2x.png,png,7964,loose/error_login_caption@2x.png
error_nonetwork@2x.png,png,10534,loose/error_nonetwork@2x.png
error_nonetwork_caption@2x.png,png,7493,loose/error_nonetwork_caption@2x.png
favorite_cart@2x.png,png,8056,loose/favorite_cart@2x.png
favorite_cart_h@2x.png,png,8179,loose/favorite_cart_h@2x.png
favorite_delete@2x.png,png,6515,loose/favorite_delete@2x.png
favorite_delete_h@2x.png,png,6514,loose/favorite_delete_h@2x.png
favorite_empty@2x.png,png,12704,loose/favorite_empty@2x.png
footer_logo@2x.png,png,8046,loose/footer_logo@2x.png
forward.png,png,289,loose/forward.png
forward@2x.png,png,478,loose/forward@2x.png
gps_alert@2x.png,png,6417,loose/gps_alert@2x.png
gps_pin_miku@2x.png,png,17644,loose/gps_pin_miku@2x.png
gps_spoticon@2x.png,png,9094,loose/gps_spoticon@2x.png
gps_spoticon_h@2x.png,png,9113,loose/gps_spoticon_h@2x.png
half_icon@2x.png,png,4818,loose/half_icon@2x.png
halfandhalf/img/arrow.png,png,1866,loose/halfandhalf/img/arrow.png
halfandhalf/img/background.png,png,56085,loose/halfandhalf/img/background.png
halfandhalf/img/half_pizza_current.png,png,1514,loose/halfandhalf/img/half_pizza_current.png
halfandhalf/img/half_pizza_left.png,png,4098,loose/halfandhalf/img/half_pizza_left.png
halfandhalf/img/half_pizza_right.png,png,4081,loose/halfandhalf/img/half_pizza_right.png
halfandhalf/img/half_pizza_select.png,png,2639,loose/halfandhalf/img/half_pizza_select.png
halfandhalf/img/half_topping_alert.png,png,12493,loose/halfandhalf/img/half_topping_alert.png
halfandhalf/img/menu_button_cancel.png,png,5437,loose/halfandhalf/img/menu_button_cancel.png
halfandhalf/img/menu_button_cart.png,png,7115,loose/halfandhalf/img/menu_button_cart.png
halfandhalf/img/menu_delete.png,png,526,loose/halfandhalf/img/menu_delete.png
halfandhalf/img/menu_next.png,png,1225,loose/halfandhalf/img/menu_next.png
halfandhalf/img/menu_tag_info.png,png,7734,loose/halfandhalf/img/menu_tag_info.png
halfandhalf/img/menu_tag_option.png,png,4146,loose/halfandhalf/img/menu_tag_option.png
halfandhalf/img/taketime.png,png,4719,loose/halfandhalf/img/taketime.png
halfandhalf/img/title_bg.png,png,2923,loose/halfandhalf/img/title_bg.png
icon_new@2x.png,png,5703,loose/icon_new@2x.png
img_cell_accessory_topping_detail@2x.png,png,161,loose/img_cell_accessory_topping_detail@2x.png
img_miku_3_5inch@2x.png,png,531336,loose/img_miku_3_5inch@2x.png
img_miku_4inch@2x.png,png,728596,loose/img_miku_4inch@2x.png
img_status_delivering_o@2x.png,png,32534,loose/img_status_delivering_o@2x.png
img_status_finishing_o@2x.png,png,32225,loose/img_status_finishing_o@2x.png
img_status_firing_o@2x.png,png,31108,loose/img_status_firing_o@2x.png
img_status_topping_o@2x.png,png,33107,loose/img_status_topping_o@2x.png
kasha.mp3,mp3,21027,loose/kasha.mp3
label_status_accept_tracking@2x.png,png,26366,loose/label_status_accept_tracking@2x.png
label_status_delivering_tracking@2x.png,png,32107,loose/label_status_delivering_tracking@2x.png
label_status_diddelivered_tracking@2x.png,png,38216,loose/label_status_diddelivered_tracking@2x.png
label_status_error_tracking@2x.png,png,24112,loose/label_status_error_tracking@2x.png
label_status_finishing_tracking@2x.png,png,38423,loose/label_status_finishing_tracking@2x.png
label_status_firing_tracking@2x.png,png,31253,loose/label_status_firing_tracking@2x.png
label_status_notlogin_tracking@2x.png,png,38256,loose/label_status_notlogin_tracking@2x.png
label_status_topping_tracking@2x.png,png,33132,loose/label_status_topping_tracking@2x.png
login.plist,plist,1235,loose/login.plist
login_dominoonline@2x.png,png,9681,loose/login_dominoonline@2x.png
login_dominoonline_h@2x.png,png,9675,loose/login_dominoonline_h@2x.png
login_text_bg@2x.png,png,1924,loose/login_text_bg@2x.png
menu_button_cart@2x.png,png,8056,loose/menu_button_cart@2x.png
menu_button_cart_h@2x.png,png,8187,loose/menu_button_cart_h@2x.png
menu_drinkset.png,png,4603,loose/menu_drinkset.png
menu_half_cancel@2x.png,png,10020,loose/menu_half_cancel@2x.png
menu_half_cancel_h@2x.png,png,10122,loose/menu_half_cancel_h@2x.png
menu_half_txt@2x.png,png,15031,loose/menu_half_txt@2x.png
menu_icon1@2x.png,png,1055,loose/menu_icon1@2x.png
menu_icon2@2x.png,png,1002,loose/menu_icon2@2x.png
menu_icon_breadbowl.png,png,3544,loose/menu_icon_breadbowl.png
menu_icon_drink.png,png,1832,loose/menu_icon_drink.png
menu_icon_etc.png,png,4064,loose/menu_icon_etc.png
menu_icon_half@2x.png,png,3807,loose/menu_icon_half@2x.png
menu_icon_hotsub@2x.png,png,10672,loose/menu_icon_hotsub@2x.png
menu_icon_lunch@2x.png,png,11389,loose/menu_icon_lunch@2x.png
menu_icon_pasta@2x.png,png,13660,loose/menu_icon_pasta@2x.png
menu_icon_pastasub@2x.png,png,14152,loose/menu_icon_pastasub@2x.png
menu_icon_pizza@2x.png,png,11692,loose/menu_icon_pizza@2x.png
menu_icon_pizzasub@2x.png,png,9081,loose/menu_icon_pizzasub@2x.png
menu_icon_quattro@2x.png,png,3788,loose/menu_icon_quattro@2x.png
menu_icon_set@2x.png,png,12286,loose/menu_icon_set@2x.png
menu_icon_sublunch@2x.png,png,10395,loose/menu_icon_sublunch@2x.png
menu_icon_whole@2x.png,png,3701,loose/menu_icon_whole@2x.png
menu_option_crust_15@2x.png,png,1254,loose/menu_option_crust_15@2x.png
menu_option_crust_18@2x.png,png,1618,loose/menu_option_crust_18@2x.png
menu_option_crust_19@2x.png,png,1618,loose/menu_option_crust_19@2x.png
menu_option_crust_1@2x.png,png,1597,loose/menu_option_crust_1@2x.png
menu_option_crust_2@2x.png,png,1226,loose/menu_option_crust_2@2x.png
menu_option_crust_3@2x.png,png,1392,loose/menu_option_crust_3@2x.png
menu_option_crust_4@2x.png,png,1690,loose/menu_option_crust_4@2x.png
menu_option_crust_5@2x.png,png,1490,loose/menu_option_crust_5@2x.png
menu_option_crust_6@2x.png,png,1392,loose/menu_option_crust_6@2x.png
menu_option_size_10@2x.png,png,15346,loose/menu_option_size_10@2x.png
menu_option_size_14@2x.png,png,16756,loose/menu_option_size_14@2x.png
menu_option_size_17@2x.png,png,21849,loose/menu_option_size_17@2x.png
menu_photo1.png,png,1534,loose/menu_photo1.png
menu_photo2.png,png,918,loose/menu_photo2.png
menu_photo3@2x.png,png,818,loose/menu_photo3@2x.png
menu_toolbar_background@2x.png,png,786,loose/menu_toolbar_background@2x.png
menu_toolbar_cart@2x.png,png,5354,loose/menu_toolbar_cart@2x.png
menu_toolbar_cart_h@2x.png,png,5353,loose/menu_toolbar_cart_h@2x.png
menudetail/img/background.png,png,56085,loose/menudetail/img/background.png
menudetail/img/menu_button_cart.png,png,7115,loose/menudetail/img/menu_button_cart.png
menudetail/img/menu_button_half.png,png,4445,loose/menudetail/img/menu_button_half.png
menudetail/img/menu_delete.png,png,526,loose/menudetail/img/menu_delete.png
menudetail/img/menu_next.png,png,1225,loose/menudetail/img/menu_next.png
menudetail/img/menu_tag_info.png,png,7734,loose/menudetail/img/menu_tag_info.png
menudetail/img/menu_tag_option.png,png,4146,loose/menudetail/img/menu_tag_option.png
menudetail/img/photo.jpg,jpg,72514,loose/menudetail/img/photo.jpg
menudetail/img/taketime.png,png,4719,loose/menudetail/img/taketime.png
menudetail/img/title_bg.png,png,2923,loose/menudetail/img/title_bg.png
miku_music0.mp3,mp3,1969920,loose/miku_music0.mp3
miku_music1.mp3,mp3,2085840,loose/miku_music1.mp3
miku_music2.mp3,mp3,1791791,loose/miku_music2.mp3
miku_music3.mp3,mp3,1909237,loose/miku_music3.mp3
outofservice@2x.png,png,60761,loose/outofservice@2x.png
page_mark_blue@2x.png,png,279,loose/page_mark_blue@2x.png
page_mark_gray@2x.png,png,272,loose/page_mark_gray@2x.png
root_address@2x.png,png,8919,loose/root_address@2x.png
root_address_h@2x.png,png,8991,loose/root_address_h@2x.png
root_history@2x.png,png,5862,loose/root_history@2x.png
root_history_h@2x.png,png,5871,loose/root_history_h@2x.png
root_login@2x.png,png,6923,loose/root_login@2x.png
root_login_h@2x.png,png,7017,loose/root_login_h@2x.png
root_logo@2x.png,png,52336,loose/root_logo@2x.png
root_logo_3.5@2x.png,png,20666,loose/root_logo_3.5@2x.png
root_logout_small@2x.png,png,4786,loose/root_logout_small@2x.png
root_logout_small_h@2x.png,png,4789,loose/root_logout_small_h@2x.png
root_news@2x.png,png,2845,loose/root_news@2x.png
section_header_bg.png,png,218,loose/section_header_bg.png
securitycode@2x.png,png,38442,loose/securitycode@2x.png
separateLine@2x.png,png,139,loose/separateLine@2x.png
shop.plist,plist,617,loose/shop.plist
splash.mp4,mp4,5255800,loose/splash.mp4
start_loader_bar.png,png,227,loose/start_loader_bar.png
start_loader_bg.png,png,510,loose/start_loader_bg.png
start_loader_endcap.png,png,246,loose/start_loader_endcap.png
tab_coupon@2x.png,png,329,loose/tab_coupon@2x.png
tab_game@2x.png,png,1213,loose/tab_game@2x.png
tab_order@2x.png,png,1526,loose/tab_order@2x.png
tab_tracking@2x.png,png,1503,loose/tab_tracking@2x.png
tel_icon@2x.png,png,2322,loose/tel_icon@2x.png
thanks3_5inch@2x.png,png,762326,loose/thanks3_5inch@2x.png
thanks4inch@2x.png,png,784284,loose/thanks4inch@2x.png
thanks_game@2x.png,png,11278,loose/thanks_game@2x.png
thanks_game_h@2x.png,png,11313,loose/thanks_game_h@2x.png
thanks_tracking@2x.png,png,11034,loose/thanks_tracking@2x.png
thanks_tracking_h@2x.png,png,11008,loose/thanks_tracking_h@2x.png
thanks_wallpaper@2x.png,png,6887,loose/thanks_wallpaper@2x.png
thanks_wallpaper_h@2x.png,png,6820,loose/thanks_wallpaper_h@2x.png
time_icon@2x.png,png,3495,loose/time_icon@2x.png
topping_50001@2x.png,png,3877,loose/topping_50001@2x.png
topping_50002@2x.png,png,4165,loose/topping_50002@2x.png
topping_50003@2x.png,png,5615,loose/topping_50003@2x.png
topping_50004@2x.png,png,5657,loose/topping_50004@2x.png
topping_50005@2x.png,png,5659,loose/topping_50005@2x.png
topping_50006@2x.png,png,10297,loose/topping_50006@2x.png
topping_50007@2x.png,png,6142,loose/topping_50007@2x.png
topping_50008@2x.png,png,5906,loose/topping_50008@2x.png
topping_50009@2x.png,png,8786,loose/topping_50009@2x.png
topping_50010@2x.png,png,3792,loose/topping_50010@2x.png
topping_50012@2x.png,png,9189,loose/topping_50012@2x.png
topping_50013@2x.png,png,7491,loose/topping_50013@2x.png
topping_50014@2x.png,png,4913,loose/topping_50014@2x.png
topping_50015@2x.png,png,5259,loose/topping_50015@2x.png
topping_50016@2x.png,png,6167,loose/topping_50016@2x.png
topping_50051@2x.png,png,4928,loose/topping_50051@2x.png
topping_50052@2x.png,png,4264,loose/topping_50052@2x.png
topping_50053@2x.png,png,4988,loose/topping_50053@2x.png
topping_50054@2x.png,png,6701,loose/topping_50054@2x.png
topping_50055@2x.png,png,5700,loose/topping_50055@2x.png
topping_50056@2x.png,png,6567,loose/topping_50056@2x.png
topping_50057@2x.png,png,4163,loose/topping_50057@2x.png
topping_50058@2x.png,png,4100,loose/topping_50058@2x.png
topping_50059@2x.png,png,3890,loose/topping_50059@2x.png
topping_50060@2x.png,png,3947,loose/topping_50060@2x.png
topping_50061@2x.png,png,6945,loose/topping_50061@2x.png
topping_50062@2x.png,png,4021,loose/topping_50062@2x.png
topping_50063@2x.png,png,8318,loose/topping_50063@2x.png
topping_50064@2x.png,png,8309,loose/topping_50064@2x.png
topping_check2@2x.png,png,491,loose/topping_check2@2x.png
topping_check@2x.png,png,1027,loose/topping_check@2x.png
txt3@2x.png,png,5182,loose/txt3@2x.png
txt_limited_wallpaper@2x.png,png,7437,loose/txt_limited_wallpaper@2x.png
txt_taketime@2x.png,png,4704,loose/txt_taketime@2x.png
wallpaper_back@2x.png,png,37523,loose/wallpaper_back@2x.png
wallpaper_back_h@2x.png,png,48685,loose/wallpaper_back_h@2x.png
wallpaper_btn_close@2x.png,png,10995,loose/wallpaper_btn_close@2x.png
wallpaper_btn_close_o@2x.png,png,22523,loose/wallpaper_btn_close_o@2x.png
wallpaper_btn_help@2x.png,png,7291,loose/wallpaper_btn_help@2x.png
wallpaper_error_notify@2x.png,png,25963,loose/wallpaper_error_notify@2x.png
wallpaper_first_0@2x.jpg,jpg,18789,loose/wallpaper_first_0@2x.jpg
wallpaper_first_1@2x.jpg,jpg,16201,loose/wallpaper_first_1@2x.jpg
wallpaper_first_2@2x.jpg,jpg,19458,loose/wallpaper_first_2@2x.jpg
wallpaper_group_title_0@2x.png,png,30283,loose/wallpaper_group_title_0@2x.png
wallpaper_group_title_1@2x.png,png,25556,loose/wallpaper_group_title_1@2x.png
wallpaper_group_title_2@2x.png,png,25867,loose/wallpaper_group_title_2@2x.png
wallpaper_list_disabled_base@2x.png,png,22728,loose/wallpaper_list_disabled_base@2x.png
wallpaper_list_enabled_base@2x.png,png,49716,loose/wallpaper_list_enabled_base@2x.png
wallpaper_loading@2x.png,png,32850,loose/wallpaper_loading@2x.png
wallpaper_main_opening@2x.png,png,88059,loose/wallpaper_main_opening@2x.png
wallpaper_placeholder@2x.png,png,1804,loose/wallpaper_placeholder@2x.png
wallpaper_popup_base_get@2x.png,png,62458,loose/wallpaper_popup_base_get@2x.png
wallpaper_popup_base_help@2x.png,png,131151,loose/wallpaper_popup_base_help@2x.png
wallpaper_popup_close_button@2x.png,png,10243,loose/wallpaper_popup_close_button@2x.png
wallpaper_popup_close_button_h@2x.png,png,21650,loose/wallpaper_popup_close_button_h@2x.png
wallpaper_popup_get_icon@2x.png,png,28327,loose/wallpaper_popup_get_icon@2x.png
wallpaper_popup_get_word@2x.png,png,2771,loose/wallpaper_popup_get_word@2x.png
wallpaper_save@2x.png,png,37587,loose/wallpaper_save@2x.png
wallpaper_save_h@2x.png,png,50607,loose/wallpaper_save_h@2x.png
wallpaper_thumb_background@2x.png,png,742,loose/wallpaper_thumb_background@2x.png
wallpaper_title@2x.png,png,5954,loose/wallpaper_title@2x.png
